Frame, Time, dT, U, U0, U1, U2, V, V0, V1, V2, T0, T1, T2, N, N0, N1, N2, mfp, mct, P0, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11, P12, P13, P14, P15, P16, P17, P18, P19
27,1.120605,0.0269482,9977.589,0,9977.589,0,8000,4.000092,7996,0,NaN,9.635295E+14,NaN,50000,0,50000,0,0.08695228,0.04419178,0,0,0,0,0,0,0,0,0,0,0,0,0.288897,0,0,0,0,0,0,0
28,1.146799,0.0261932,9977.582,0,9977.582,0,8000,4.000092,7996,0,NaN,9.635289E+14,NaN,50000,0,50000,0,0.09257049,0.04708386,0,0,0,0,0,0,0,0,0,0,0,0,0.3191011,0,0,0,0,0,0,0
29,1.173436,0.026637,9977.578,0,9977.578,0,8000,4.000092,7996,0,NaN,9.635285E+14,NaN,50000,0,50000,0,0.09810524,0.04988039,0,0,0,0,0,0,0,0,0,0,0,0,0.4343795,0,0,0,0,0,0.04674855,0
30,1.199926,0.0264908,9977.583,0,9977.583,0,8000,4.000092,7996,0,NaN,9.635289E+14,NaN,50000,0,50000,0,0.1042963,0.05297955,0,0,0,0,0,0,0,0,0,0,0,0,0.7285086,0,0,0,0,0,0,0
31,1.225976,0.0260497,9977.59,0,9977.59,0,8000,4.000092,7996,0,NaN,9.635296E+14,NaN,50000,0,50000,0,0.1106959,0.05622277,0,0,0,0,0,0,0,0,0,0,0,0.05778887,0.4636438,0,0,0,0,0,0,0
32,1.252677,0.0267009,9977.586,0,9977.586,0,8000,4.000092,7996,0,NaN,9.635293E+14,NaN,50000,0,50000,0,0.1176949,0.05972807,0,0,0,0,0,0,0.03726917,0,0,0,0,0,0.5029054,0,0,0,0,0,0,0
33,1.278798,0.0261204,9977.585,0,9977.585,0,8000,4.000092,7996,0,NaN,9.635291E+14,NaN,50000,0,50000,0,0.1253253,0.06359196,0,0,0,0,0,0,0.1519689,0,0,0,0.03796329,0.04175284,0.5418501,0,0,0,0,0,0.05040106,0
34,1.304759,0.0259614,9977.584,0,9977.584,0,8000,4.000092,7996,0,NaN,9.635291E+14,NaN,50000,0,50000,0,0.1332485,0.06761923,0,0,0,0,0,0,0.148524,0,0,0,0.3732634,0.1618243,0.5231146,0,0,0,0,0,0.07549313,0
35,1.331653,0.0268938,9977.583,0,9977.583,0,8000,4.000092,7996,0,NaN,9.635289E+14,NaN,50000,0,50000,0,0.1402658,0.07117141,0,0,0,0,0,0,0.0367242,0,0,0,0.07272043,0,0.4056235,0,0,0,0,0,0.1046416,0
36,1.358259,0.0266067,9977.589,0,9977.589,0,8000,4.000092,7996,0,NaN,9.635295E+14,NaN,50000,0,50000,0,0.1482065,0.07513236,0,0,0,0,0,0,0.171995,0,0,0,0.1571742,0.1142981,0.2904918,0,0,0,0,0,0.2840994,0
37,1.385346,0.0270869,9977.588,0,9977.588,0,8000,4.000092,7996,0,NaN,9.635294E+14,NaN,50000,0,50000,0,0.1551833,0.07861414,0,0,0,0,0,0,0.3459755,0,0,0,0.1356083,0.2155196,0.7576101,0,0,0,0,0,0.2016527,0
38,1.412595,0.0272491,9977.591,0,9977.591,0,8000,4.000092,7996,0,NaN,9.635297E+14,NaN,50000,0,50000,0,0.1637722,0.08290316,0,0,0,0,0,0,0.2380627,0,0,0,0.1076779,0.2003991,0.4814705,0,0,0,0,0,0.3586479,0
39,1.438982,0.0263865,9977.597,0,9977.597,0,8000,4.000092,7996,0,NaN,9.635303E+14,NaN,50000,0,50000,0,0.1720802,0.08713096,0,0,0,0,0,0,0.2343924,0,0,0,0.3082938,0.2845847,0.5435001,0,0,0,0,0,0.1755615,0
40,1.465579,0.0265968,9977.595,0,9977.595,0,8000,4.000092,7996,0,NaN,9.635301E+14,NaN,50000,0,50000,0,0.1806236,0.09143417,0,0,0,0,0,0,0.2985325,0,0,0,0.5201587,0.3040057,0.5879345,0,0,0,0,0,0.384871,0
41,1.491817,0.0262388,9977.601,0,9977.601,0,8000,4.000092,7996,0,NaN,9.635307E+14,NaN,50000,0,50000,0,0.1896142,0.09604775,0,0,0,0,0,0,0.3891529,0,0,0,0.1959331,0.3424768,0.5865426,0,0,0,0,0,0.384973,0
42,1.518721,0.0269031,9977.596,0,9977.596,0,8000,4.000092,7996,0,NaN,9.635302E+14,NaN,50000,0,50000,0,0.1996593,0.101083,0,0,0,0,0,0,0.4464805,0,0,0,0.2828357,0.3637475,0.6316779,0,0,0,0,0,0.3351889,0
43,1.545196,0.0264756,9977.6,0,9977.6,0,8000,4.000092,7996,0,NaN,9.635305E+14,NaN,50000,0,50000,0,0.2098438,0.106179,0,0,0,0,0,0,0.4181103,0,0,0,0.5782666,0.3371277,0.6690638,0,0,0,0,0,0.3733944,0
44,1.571498,0.0263014,9977.594,0,9977.594,0,8000,4.000092,7996,0,NaN,9.6353E+14,NaN,50000,0,50000,0,0.2191189,0.110829,0,0,0,0,0,0,0.4689983,0,0,0,0.632996,0.4552271,0.5887052,0.05306741,0,0,0,0,0.2592003,0
45,1.59807,0.0265722,9977.598,0,9977.598,0,8000,4.000092,7996,0,NaN,9.635303E+14,NaN,50000,0,50000,0,0.2294554,0.1159709,0,0,0,0,0,0,0.4708451,0,0,0,0.4213379,0.234924,0.521359,0,0,0,0,0,0.3033908,0
46,1.62411,0.0260402,9977.597,0,9977.597,0,8000,4.000092,7996,0,NaN,9.635303E+14,NaN,50000,0,50000,0,0.2388258,0.1204897,0,0,0,0,0,0,0.6306159,0,0,0,0.4741554,0.3762677,0.4419337,0.04504642,0,0,0,0,0.2453959,0
47,1.650588,0.0264778,9977.605,0,9977.605,0,8000,4.000092,7996,0,NaN,9.635312E+14,NaN,50000,0,50000,0,0.2500679,0.1259357,0,0,0,0,0,0,0.4888204,0,0,0,0.56634,0.4429331,0.7761267,0,0,0,0,0,0.5245495,0
48,1.676752,0.0261638,9977.598,0,9977.598,0,8000,4.000092,7996,0,NaN,9.635303E+14,NaN,50000,0,50000,0,0.2624198,0.1320353,0,0,0,0,0,0,0.4978341,0,0,0,0.3006286,0.6368431,0.6394487,0,0,0,0,0,0.2936258,0
49,1.70285,0.0260983,9977.603,0,9977.603,0,8000,4.000092,7996,0,NaN,9.635308E+14,NaN,50000,0,50000,0,0.2719301,0.1368705,0,0,0,0,0,0,0.3050109,0,0,0,0.324959,0.3725905,0.4279115,0.1584437,0,0,0,0,0.4458008,0
50,1.729051,0.0262014,9977.602,0,9977.602,0,8000,4.000092,7996,0,NaN,9.635307E+14,NaN,50000,0,50000,0,0.2818926,0.1418345,0,0,0,0,0,0,0.4344895,0,0,0,0.3028947,0.3094206,0.4105836,0.1117266,0,0,0,0,0.3542991,0
51,1.755648,0.0265962,9977.596,0,9977.596,0,8000,4.000092,7996,0,NaN,9.635302E+14,NaN,50000,0,50000,0,0.2917385,0.1466316,0,0,0,0,0,0,0.5021964,0,0,0,0.5218706,0.6286404,0.451334,0.1096618,0,0,0,0,0.459889,0
